None,None,,,
Promotional Services,Promotional Services,,,
Standard,Standard,,,
Other 48-hour courier,Other 48-hour courier,,,
Express Mail Service,Express Mail Service,,,
IoInvio courier,IoInvio courier,,,
Paccocelere 3,Paccocelere 3,,,
International insured mail,International insured mail,,,
International registered mail,International registered mail,,,
Standard international delivery,Standard international delivery,,,
Worldwide,Worldwide,,,
Australia,Australia,,,
America,America,,,
Asia,Asia,,,
Canada,Canada,,,
Germany,Germany,,,
Europe,Europe,,,
European Union,European Union,,,
France,France,,,
United Kingdom,United Kingdom,,,
Japan,Japan,,,
Unspecified,Unspecified,,,
United States,United States,,,
Africa,Africa,,,
Asia,Asia,,,
Central America and Caribbean,Central America and Caribbean,,,
Europe,Europe,,,
North America,North America,,,
Oceania,Oceania,,,
South America,South America,,,
Middle East,Middle East,,,
Southeast Asia,Southeast Asia,,,
PO Box,PO Box,,,
Algeria,Algeria,,,
Angola,Angola,,,
Benin,Benin,,,
Botswana,Botswana,,,
Burkina Faso,Burkina Faso,,,
Burundi,Burundi,,,
Cameroon,Cameroon,,,
Chad,Chad,,,
Comoros,Comoros,,,
"Congo, Republic of the","Congo, Republic of the",,,
"Congo, Democratic Republic of the","Congo, Democratic Republic of the",,,
Ivory Coast,Ivory Coast,,,
Egypt,Egypt,,,
Eritrea,Eritrea,,,
Ethiopia,Ethiopia,,,
Gambia,Gambia,,,
Ghana,Ghana,,,
Djibouti,Djibouti,,,
Guinea,Guinea,,,
Equatorial Guinea,Equatorial Guinea,,,
Guinea-Bissau,Guinea-Bissau,,,
Cape Verde,Cape Verde,,,
Kenya,Kenya,,,
Lesotho,Lesotho,,,
Liberia,Liberia,,,
Libya,Libya,,,
Madagascar,Madagascar,,,
Malawi,Malawi,,,
Mali,Mali,,,
Morocco,Morocco,,,
Mauritania,Mauritania,,,
Mauritius,Mauritius,,,
Mayotte,Mayotte,,,
Mozambique,Mozambique,,,
Namibia,Namibia,,,
Niger,Niger,,,
Nigeria,Nigeria,,,
Central African Republic,Central African Republic,,,
Gabonese Republic,Gabonese Republic,,,
Reunion,Reunion,,,
Rwanda,Rwanda,,,
Western Sahara,Western Sahara,,,
Senegal,Senegal,,,
Seychelles,Seychelles,,,
Sierra Leone,Sierra Leone,,,
Somalia,Somalia,,,
Saint Helena,Saint Helena,,,
South Africa,South Africa,,,
Swaziland,Swaziland,,,
Tanzania,Tanzania,,,
Togo,Togo,,,
Tunisia,Tunisia,,,
Uganda,Uganda,,,
Zambia,Zambia,,,
Zimbabwe,Zimbabwe,,,
Afghanistan,Afghanistan,,,
Armenia,Armenia,,,
Bangladesh,Bangladesh,,,
Bhutan,Bhutan,,,
China,China,,,
South Korea,South Korea,,,
Russian Federation,Russian Federation,,,
Georgia,Georgia,,,
Japan,Japan,,,
India,India,,,
Kazakhstan,Kazakhstan,,,
Kyrgyzstan,Kyrgyzstan,,,
Maldives,Maldives,,,
Mongolia,Mongolia,,,
Nepal,Nepal,,,
Pakistan,Pakistan,,,
"Azerbaijan, Republic of","Azerbaijan, Republic of",,,
Sri Lanka,Sri Lanka,,,
Tajikistan,Tajikistan,,,
Turkmenistan,Turkmenistan,,,
Uzbekistan,Uzbekistan,,,
Anguilla,Anguilla,,,
Antigua and Barbuda,Antigua and Barbuda,,,
Netherlands Antilles,Netherlands Antilles,,,
Aruba,Aruba,,,
Bahamas,Bahamas,,,
Barbados,Barbados,,,
Belize,Belize,,,
Costa Rica,Costa Rica,,,
Dominica,Dominica,,,
El Salvador,El Salvador,,,
Jamaica,Jamaica,,,
Grenada,Grenada,,,
Guadeloupe,Guadeloupe,,,
Guatemala,Guatemala,,,
Haiti,Haiti,,,
Honduras,Honduras,,,
Cayman Islands,Cayman Islands,,,
Turks and Caicos,Turks and Caicos,,,
US Virgin Islands,US Virgin Islands,,,
British Virgin Islands,British Virgin Islands,,,
Martinique,Martinique,,,
Montserrat,Montserrat,,,
Nicaragua,Nicaragua,,,
Panama,Panama,,,
Puerto Rico,Puerto Rico,,,
Dominican Republic,Dominican Republic,,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,,
Saint Lucia,Saint Lucia,,,
Saint Kitts and Nevis,Saint Kitts and Nevis,,,
Trinidad and Tobago,Trinidad and Tobago,,,
Albania,Albania,,,
Andorra,Andorra,,,
Austria,Austria,,,
Belgium,Belgium,,,
Belarus,Belarus,,,
Bosnia and Herzegovina,Bosnia and Herzegovina,,,
Bulgaria,Bulgaria,,,
Cyprus,Cyprus,,,
Vatican City,Vatican City,,,
"Croatia, Republic of","Croatia, Republic of",,,
Denmark,Denmark,,,
Estonia,Estonia,,,
Finland,Finland,,,
France,France,,,
Germany,Germany,,,
Gibraltar,Gibraltar,,,
Greece,Greece,,,
Guernsey,Guernsey,,,
Ireland,Ireland,,,
Iceland,Iceland,,,
Jersey,Jersey,,,
Latvia,Latvia,,,
Liechtenstein,Liechtenstein,,,
Lithuania,Lithuania,,,
Luxembourg,Luxembourg,,,
Macedonia,Macedonia,,,
Malta,Malta,,,
Moldova ,Moldova ,,,
Monaco,Monaco,,,
Montenegro,Montenegro,,,
Norway,Norway,,,
Netherlands,Netherlands,,,
Poland,Poland,,,
Portugal,Portugal,,,
United Kingdom,United Kingdom,,,
Czech Republic,Czech Republic,,,
Romania,Romania,,,
San Marino,San Marino,,,
Serbia,Serbia,,,
Slovakia,Slovakia,,,
Slovenia,Slovenia,,,
Spain,Spain,,,
Svalbard and Jan Mayen,Svalbard and Jan Mayen,,,
Sweden,Sweden,,,
Switzerland,Switzerland,,,
Ukraine,Ukraine,,,
Hungary,Hungary,,,
Saudi Arabia,Saudi Arabia,,,
Bahrain,Bahrain,,,
United Arab Emirates,United Arab Emirates,,,
Jordan,Jordan,,,
Iraq,Iraq,,,
Israel,Israel,,,
Kuwait,Kuwait,,,
Lebanon,Lebanon,,,
Oman,Oman,,,
Qatar,Qatar,,,
Turkey,Turkey,,,
Yemen,Yemen,,,
Bermuda,Bermuda,,,
Canada,Canada,,,
Greenland,Greenland,,,
Mexico,Mexico,,,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,,,
United States,United States,,,
Australia,Australia,,,
Fiji,Fiji,,,
Guam,Guam,,,
Cook Islands,Cook Islands,,,
Marshall Islands,Marshall Islands,,,
Salomon Islands,Salomon Islands,,,
Kiribati,Kiribati,,,
Micronesia,Micronesia,,,
Nauru,Nauru,,,
Niue,Niue,,,
New Caledonia,New Caledonia,,,
New Zealand,New Zealand,,,
Palau,Palau,,,
Papua New Guinea,Papua New Guinea,,,
French Polynesia,French Polynesia,,,
American Samoa,American Samoa,,,
Western Samoa,Western Samoa,,,
Tonga,Tonga,,,
Tuvalu,Tuvalu,,,
Vanuatu,Vanuatu,,,
Wallis and Futuna,Wallis and Futuna,,,
Brunei,Brunei,,,
Cambodia,Cambodia,,,
Philippines,Philippines,,,
Hong Kong,Hong Kong,,,
Indonesia,Indonesia,,,
Laos,Laos,,,
Macau,Macau,,,
Malaysia,Malaysia,,,
Singapore,Singapore,,,
Thailand,Thailand,,,
Taiwan,Taiwan,,,
Vietnam,Vietnam,,,
Argentina,Argentina,,,
Bolivia,Bolivia,,,
Brazil,Brazil,,,
Chile,Chile,,,
Colombia,Colombia,,,
Ecuador,Ecuador,,,
Guyana,Guyana,,,
French Guiana,French Guiana,,,
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),,,
Paraguay,Paraguay,,,
Peru,Peru,,,
Suriname,Suriname,,,
Uruguay,Uruguay,,,
Venezuela,Venezuela,,,
Personal cheque,Personal cheque,,,
Visa or MasterCard,Visa or MasterCard,,,
American Express,American Express,,,
Cash on delivery,Cash on delivery,,,
Other / See item description,Other / See item description,,,
Bank transfer,Bank transfer,,,
PayPal,PayPal,,,
