Item ID,Item Description,Qty on Hand,Avg Cost,Item Value
AD-65021566S,CS4 DESIGN PREMIUM WIN,,,
AD-65036589,DIRECTOR 11.5 DSP,,938.01,
AD-65048331,CS5 PHOTOSHOP MAC,,,
AD-65048599,CS5 Photoshop WIN UPG,,149.24,
AD-65049075,CS5 Photosop Ext  WIN UPG CS5,,344.99,
AD-65049279,CS5 Photoshop EXT WIN UPG,,,
AD-65049280,CS5 Photoshop EXT MAC UPG,,333.83,
AD-65049654S,CS5 PHOTOSHOP EXT WIN,,,
AD-65049655,CS5 PhotoShop Extended MAC,,,
AD-65051352,Premiere Pro CS5 for Mac,,,
AD-65051584,CS5 Premiere Pro WIN UPG,,275.88,
AD-65051585,CS5 Premiere Pro MAC UPG,,,
AD-65053332,CS5 After Effects WIN UPG,,,
AD-65053333,CS5 After Effects MAC UPG,,,
AD-65054295,CS5 Fireworks MAC UPG,,,
AD-65054296,CS5 Fireworks WIN UPG,,,
AD-65054393,FIREWORKS CS5 11 WINDOWS,,,
ad-65054853,CS5 PRODUCTION UPG FROM CS4,,,
AD-65054854,CS5 Prod Prem WIN UPG CS4,,,
AD-65055082,CS5 Production Premium for WIN,,950.00,
AD-65055206,CS5 Prod Prem WIN UPG CS2/3,,,
AD-65056290,CS5 FLASH PRO MAC FULL,,,
AD-65056390,CS5 Flash Pro MAC UPG,,,
AD-65059246,CS5 Dream Weaver WIN UPSL GL,,,
AD-65059546,Dreamweaver CS5 for Mac,,,
AD-65059921,CS5 Dream Weaver MAC UPG,,,
AD-65061282,CS5 Illustrator MAC UPG FREEHN,,182.76,
AD-65061455,CS5 ILLUSTRATOR MAC,,425.00,
AD-65062197,CS5 INDESIGN MAC UPSL PGMKR,,182.76,
AD-65064073,PHOTOSHOP LIGHTROOM 3,,,
AD-65065891,CS5 Master Collection for Mac,,,
AD-65065892,CS5 Master Collection,,,
AD-65065907,CS5 Master Collection - UpgCS4,,,
AD-65066411,CS5 Master Collec WIN UPG CS3,,,
AD-65067540,CS5 Web Premium for Mac,,,
AD-65067540S,CS5 WEB PREM FOR MAC,,400.00,
AD-65067541,CS5 WEB PREMIUM WIN FULL,,900.00,
AD-65067541S,CS5 WEB PREMIUM FOR WIN,,,
AD-65068225,CS5 Web Premium MAC UPG CS4,,,
AD-65069315,FLASH CATALYST CS5,,,
AD-65069682,Flash Builder 4 Premium,,350.00,
AD-65070370,Contribute CS5 MAC,,150.00,
AD-65075617,CAPTIVATE 5 MAC,,,
AD-65083160,ACROBAT X PRO MAC,,331.43,
AD-65083161,ACROBAT X PRO WIN,,320.00,
AD-65085737AD0A00,Donwgrade to Acrobat X,,20.25,
AD-65085821,ACROBAT X STANDARD WIN,,220.00,
AD-65086396,ACROBAT X SUITE,,500.00,
AD-65088752,Photoshop Elements 9 plus Prem,,105.00,
AD-65096935,ACROBAT X PRO WIN UPG,,160.00,
AD-65096937,ACROBAT X PRO MAC UPG DL only,,175.13,
ad-65096940,Acrobat 10 Suite v1.0 Upgrade,,733.37,
AD-65097222,ACROBAT 10 PRO UPG FRM SD,,178.02,
AD-65099832,RoboHelp 9,,550.00,
AD-651,,,,
AD-65101271,CS5.5 DREAMWEAVER MAC,,300.00,
AD-65105374,DREAMWAEVER 5.5 UPG,,,
AD-65105375,DREAMWEAVER CS5.5 UPG,,,
AD-65107660,CS5.5 PREMIERE PRO MAC,,453.89,
AD-65108024,Premiere Pro CS5.5 Mac UPG,,,
AD-65109016,CS5.5 FLASH PRO MAC,,450.00,
AD-65110274,CS5.5 AFTER EFFECTS WIN,,495.00,
AD-65110275,CS5.5 AFTER EFFECTS MAC,,550.00,
AD-65111779,CS5.5 DESIGN PREM MAC,,900.00,
AD-65111780,CS5.5 DESIGN PREM WIN,,"1,150.00",
AD-65112649,CS5.5 DES PREM WIN - UPG CS5,,,
AD-65112790,CS5.5 DES PREM WIN UPG 2/3,,866.11,
AD-65112869,CS5.5 DES PREM WIN UPG CS4,,473.59,
AD-65113635,CS5.5 PROD PREM WIN UPG CS4,,,
AD-65113636,CS5.5 PROD PREM MAC UPG CS4,,,
AD-65114467,CS5.5 PROD PREM WIN,,"1,050.00",
AD-65114468,CS5.5 PROD PREM MAC,,950.00,
AD-65114603,CS5.5 PROD PREM WIN UPG CS5,,,
AD-65114604,CS5.5 PROD PREM MAC UPG CS5,,,
AD-65115668,CS5.5 MASTER MAC UPG CS5,,,
AD-65115669,CS5.5 MASTER WIN UPG CS5,,,
AD-65115754,CS5.5 MASTER COLLECTION WIN,,"1,675.00",
AD-65115755,CS5.5  MASTER COLLECTION MAC,,"1,500.00",
AD-65115896,CS5.5 MASTER MAC UPSELL,,,
AD-65115897,CS5.5 MASTER WIN UPSELL,,,
AD-65116116,CS5.5 MASTER MAC UPG CS3,,"1,314.55",
AD-65116865,CS5.5 MASTER WIN UPG CS4,,,
AD-65116866,CS5.5 MASTER MAC UPG CS4,,,
ad-65118416,CS5.5 WEB PREM MAC UPG CS5,,370.99,
ad-65118466,CS5.5 WEB PREM MAC UPG 2/3,,752.86,
AD-65118862,CS5.5 WEB PREM WIN,,"1,142.21",
AD-65118863,CS5.5 WEB PREM MAC,,"1,225.00",
AD-65118863S,CS5.5 Web Premium Mac S,,500.00,
AD-65119023,CS5.5 WEB PREM MAC UPG CS4,,598.62,
ad-65120567,CS5.5 DES STD WIN UPG CS5,,281.23,
ad-65120627,CS5.5 DESIGN STANDARD MAC,,"1,050.00",
AD-65125130,CAPTIVATE 5.5 MAC,,,
AD-65125583,Flash Builder 4.5 Premium - Up,,72.71,
AD-65125789,Flash Builder 4.5 Premium,,583.69,
AD-65125867,Flash Builder 4.5 Standard,,224.01,
ad-65125915,Flash Builder 4.5 Standard - U,,81.86,
AD-65126349,ELEARNING SUITE 2.5,,800.00,
AD-65134506,TECHNICAL COMM SUITE 3.5,,900.00,
AD-65136385,PHOTOSHOP ELEMENTS 10,,65.00,
AD-65136565,PHOTOSHOP & PREMIERE ELEM 10,,103.00,
AD-65136675,PREMIERE ELEMENTS 10,,,
AD-65157329AD01A00,CS6 FIREWORKS UPG,,134.68,
AD-65157735,Fireworks CS6,,279.44,
AD-65157736,FIREWORKS CS6 MAC,,279.44,
AD-65158212,CS6 PHOTOSHOP WIN UPG,,150.00,
AD-65158236,CS6 PHOTOSHOP MAC,,565.00,
AD-65158236DL,CS6 PHOTOSHOP MAC DL,,240.00,
AD-65158237,CS6 PHOTOSHOP WIN,,565.00,
AD-65158237DL,CS6 PHOTOSHOP WIN DL,,240.00,
AD-65158421AD01A00,CS6 PHOTOSHOP LIC,,630.89,
AD-65158504AA01A00,CS6 PHOTOSHOP UPG CLP,,180.25,
AD-65158504AD01A00,CS6 PHOTOSHOP UPG LIC,,180.25,
AD-65158504AF01A00,PHOTOSHOP CS6 UPG GOV,,178.23,
AD-65158554AD00A00,PHOTOSHOP CS6 MEDIA KIT,,16.41,
AD-65158555AD00A00,DVD PHOTOSHOP CS6 13 MAC DOC,,15.19,
AD-65159072,Audition CS6,,325.48,
AD-65159073,CS6 AUDITION MAC,,325.03,
AD-65159248AD01A00,AUDITION CS6 LICENSE,,314.94,
AD-65159622AD01A00,UPG AUDITION CS6 FR CS5 MACWIN,,134.68,
AD-65161186,CS6 INDESIGN MAC,,550.00,
AD-65161187,CS6 INDESIGN WIN,,540.00,
AD-65161187DL,CS6 INDESIGN WIN DL,,,
AD-65161447AA00A00,INDESIGN CS6 MEDIA KIT,,15.19,
AD-65161447AD00A00,CS6 PRODUCTION PREM MEDIA KIT,,15.19,
AD-65161515AD01A00,CS6 INDESIGN UPG FR 5.5,,113.42,
AD-65161610AD01A00,INDESIGN CS6 LICENSE,,630.89,
AD-65161629AD01A00,CS6 INDESIGN FR 3/4/5,,224.81,
AD-65161629AF01A00,CS6 INDESIGN UPG FR 3/4/5,,224.81,
AD-65162901AD01A00,CS6 DESIGN STANDARD UPG 5.5,,248.10,
AD-65163193,CS6 DESIGN STANDARD MAC,,"1,100.00",
AD-65163193DL,CS6 DESIGN STANDARD MAC DL,,350.00,
AD-65163194,CS6 DESIGN STANDARD WIN,,"1,125.00",
AD-65163194DL,CS6 DESIGN STANDARD WIN,,350.00,
AD-65163297AD01A00,CS6 DESIGN STAN 1U LIC TLP,,"1,171.65",
AD-65163297AE01A00,CS6 DESIGN STD LICENSE,,401.01,
AD-65163368AA01A00,CS6 DESIGN STD UPG FR5 CLP,,485.06,
AD-65163368AD01A00,CS6 DESIGN STD UG FR CS5 MAC,,495.19,
AD-65163469AD00A00,MAC DOC AND MEDIA,,15.19,
AD-65163557,CS6 DESIGN STD MAC EDU,,400.22,
AD-65163558,CS6 DESIGN STD WIN EDU,,405.30,
AD-65164040AD01A00,CS6 DESIGN STD UG FR CS3/4 MAC,,639.30,
AD-65164761AF01A00,LIGHTROOM 4- LIC,,128.28,
AD-65164788AF00A00,LIGHTROOM 4 MEDIA KIT,,15.15,
AD-65164937,PHOTOSHOP LIGHTROOM 4,,90.00,
AD-65164995AD01A00,LIGHTROOM 4 UPG TLP,,69.78,
AD-65165011,PHOTOSHOP LIGHTROOM 4 UPG,,70.67,
AD-65165575,CS6 ILLUSTRATOR WIN,,500.00,
AD-65165575DL,CS6 ILLUSTRATOR WIN,,230.00,
AD-65165576,CS6 ILLUSTRATOR MAC,,463.46,
AD-65165743AD01A00,CS6 ILLUSTRATOR UPG,,224.81,
AD-65165847AD01A00,ILLUSTRATOR CS6 LICENSE,,540.76,
AD-65166852AA01A00,CS6 MASTER CLP,,"2,295.70",
AD-65166852AD01A00,CS6 MASTER COLLECTION LICENSE,,"2,343.29",
AD-65166852AF01A00,MASTER COLLECTION 6- LIC,,"2,313.13",
AD-65166895AA01A00,CS6 MASTER UPG CLP,,926.58,
AD-65166895AD01A00,CS6 MASTER UPG CS5,,945.82,
AD-65166924AD01A00,CS6 MASTER UG FR CS5.5,,473.92,
AD-65167116,CS6 MASTER MAC,,"2,200.00",
AD-65167117,CS6 MASTER WIN,,"2,200.00",
AD-65167117DL,CS6 MASTER COLLECTION - WIN DL,,"2,200.00",
AD-65167742AD00A00,CS6 MASTER COLL MEDIA KIT,,15.19,
AD-65167742AF00A00,CS6 MASTER MEDIA,,15.15,
AD-65168347AD01A00,CS6 DREAMWEAVER UPG 5/5.5,,113.42,
AD-65168458AD01A00,TLP DREAMWEAVER CS6,,360.51,
AD-65168503,CS6 DREAMWEAVER MAC,,325.00,
AD-65168503DL,CS6 DREAMWEAVER MAC DL,,,
AD-65168504,CS6 DREAMWEAVER WIN,,345.00,
AD-65168504DL,CS6 DREAMWEAVER DL,,,
AD-65169166AD01A00,CS6 DREAMWEAVER UPG FR CS3/4,,224.81,
AD-65169489,DREAMWEAVER CS6 WIN EDU,,143.06,
AD-65169490,DREAMWEAVER CS6 MAC EDU,,130.00,
AD-65170137,Photoshop CS6 Extended,,550.00,
AD-65170137DL,Photoshop CS6 Extended DL,,,
AD-65170138,CS6 PHOTOSHOP EXT MAC,,600.00,
AD-65170474,CS6 PHOTOSHOP EXT WIN,,,
AD-65170540AE00A00,CS6 PHOTOSHOP EXT ACAD MEDIA,,15.19,
AD-65170707AD01A00,CS6 PHOTOSHOP EXT UPG,,360.51,
AD-65170707AF01A00,PHOTOSHOP CS6 UPG GOV,,356.46,
AD-65170886AE01A00,CS6 PHOTOSHOP EXT ACAD,,267.34,
AD-65171324,PHOTOSHOP CS6 WIN EDU,,312.19,
AD-65172001,CS6 PREMIERE PRO WIN,,475.00,
AD-65172001DL,CS6 PREMIERE PRO WIN DL,,,
AD-65172002,CS6 PREMIERE PRO MAC,,475.00,
AD-65172002DL,CS6 PREMIERE PRO MAC DL,,,
AD-65172128AD01A00,CS6 PREMIERE PRO TLP LIC,,730.63,
AD-65172156AD01A00,CS6 PREMIERE PRO UPG 3/4/5,,270.38,
AD-65172164AD01A00,CS6 PREMIERE PRO UPG 5.5,,134.68,
AD-65172512AD01A00,INDESIGN SVR CS6 8 MAC WIN,,"6,874.36",
AD-65172785,ColdFusion 10 Standard - Upgra,,697.92,
AD-65172805,COLDFUSION 10 STANDARD,,680.00,
AD-65172815,ColdFusion 10 STD - Upg from 8,,837.06,
AD-65172842,ColdFusion 10 Enterprise,,"6,800.00",
AD-65173326AD01A00,FLASH PRO CS6 - UPG FROM 5.5,,90.13,
AD-65173561AD01A00,FLASH PRO CS6 MAC WIN LVL1 LIC,,697.43,
AD-65174040AD01A00,CS6 FLASH PRO UPG WIN VLIC,,209.98,
AD-65174123,CS6 FLASH PRO MAC,,350.00,
AD-65174142,CS6 FLASH PRO WIN,,651.95,
AD-65174142DL,CS6 FLASH PRO WIN DL,,,
AD-65174323,CS6 AFTER EFFECTS MAC,,425.00,
AD-65174334AD01A00,CS6 AFTER EFFECTS UPG 5.5 LIC,,157.97,
AD-65174476AE01A00,TLP AFTER EFFECTS CS6 ACAD,,311.90,
AD-65174718,CS6 AFTER EFFECTS WIN,,500.00,
AD-65174718DL,CS6 AFTER EFFECTS WIN DL,,,
AD-65174758AD01A00,CS6 AFTER EFFECTS UPG FR 345,,314.94,
AD-65175527AD01A00,CS6 PROD PREM. UPG FR CS5.5,,338.23,
AD-65175788,CS6 PRODUCTION PREM MAC,,"1,100.00",
AD-65175974AD01A00,CS6 PROD PREM UPG CS5,,675.44,
AD-65176196AD01A00,CS6 PROD PREM UPG 3/4 LIC,,877.92,
AD-65176299AD01A00,CS6 PRODUCTION PREMIUM LIC,,"1,712.41",
AD-65176509,CS6 PRODUCTION PREM WIN,,"1,250.00",
AD-65176509DL,CS6 PRODUCTION PREM WIN DL,,,
AD-65176928,CS6 DESIGN & WEB PREM WIN,,"1,275.00",
AD-65176928DL,CS6 DESIGN & WEB PREM WIN DL,,420.00,
AD-65177005AD01A00,CS6 DES & WEB PREM FR 5.5,,338.23,
AD-65177036AA01A00,CS6 DES AND WEB UPG CLP,,662.28,
AD-65177036AD01A00,CS6 DES & WEB PREM UPG CS5 LIC,,675.44,
AD-65177113,CS6 DESIGN & WEB PREM MAC,,"1,200.00",
AD-65177113DL,CS6 DESIGN & WEB PREM MAC DL,,420.00,
AD-65177165AA01A00,CS6 DES AND WEB CLP,,"1,677.97",
AD-65177165AD01A00,CS6 DESIGN & WEB PREM TLP,,"1,712.41",
AD-65177314AD01A00,CS6 DESIGN & WEB PREM FR 3/4,,867.11,
AD-65177779,CS6 DESIGN & WEB PREM WIN ACAD,,375.00,
AD-65177812,CS6 DESIGN & WEB PREM MAC ACAD,,375.00,
AD-65182779AD01A00,CS6 AUDITION UPG FR 5.5,,67.85,
AD-65185764,CAPTIVATE 6 WIN,,500.00,
AD-65185765,Captivate 6 for Mac,,600.00,
AD-65186112,Captivate 6 - Upgrade from 5/5,,336.89,
AD-65186138,CS6 eLearning Suite Win,,900.00,
AD-65186139,CS6 eLearning Suite Mac,,"1,100.00",
AD-65186940AD01A00,FRAMEMKR 11 UPG LICENSE,,368.61,
AD-65186944AD01A00,FRAMEMAKER 11 UPG FR 9 TLP,,552.91,
AD-65187064,ROBOHELP 10,,600.00,
AD-65187466,FrameMaker 11 - Upgrade from 1,,391.79,
AD-65187472,CS6 FRAMEMAKER 11 UPG FM 9,,622.94,
AD-65187484,FRAMEMAKER 11 WIN,,500.00,-0.01
AD-65191274,Contribute 6.5,,188.42,
AD-65192903,Adobe Photoshop E 11 & PREM11,,62.00,
AD-65193818AA01A00,PHOTOSHOP ELEMENTS 11 CLP,,80.00,
AD-65193942,Premiere Elements 11,,68.00,
AD-65193986,Photoshop Elements 11,,45.00,
AD-65195001,ACROBAT XI PRO MAC EDU,,117.01,
AD-65195002,ACROBAT XI PRO WIN EDU,,104.68,
AD-65195199,ACROBAT 11 PRO MAC,,350.00,
AD-65195199DL,ACROBAT XI PRO MAC DL,,95.00,
AD-65195200,ACROBAT 11 PRO WIN,,315.00,
AD-65195200DL,ACROBAT XI PRO WIN DL,,,
AD-65195271AA01A00,ACROBAT PRO UPG 11,,171.14,
AD-65195271AD01A00,ACROBAT XI PRO UPG LIC,,180.25,
AD-65195271AF01A00,GOV ACROBAT PRO 11 MP UPG LIC,,147.85,
AD-65195512AA01A00,ACROBAT PRO 11 CLP,,384.81,
AD-65195512AD01A00,ACROBAT XI V.11 PRO 1U LIC TLP,,405.06,
AD-65195512AF01A00,ACROBAT XI PRO TLP GOV,,332.15,
AD-65196715AD01A00,ACROBAT XI STANDARD UPG LIC,,129.99,
AD-65196715AF01A0,GOV ACROBAT 11 WIN UPG LIC,,105.69,
AD-65196715AF01A00,GOVT TLP UPG ACROBAT 11,,103.29,
AD-65196809,ACROBAT 11 STD WIN,,265.65,
AD-65196809DL,ACROBAT 11 STD WIN DL,,85.00,
AD-65196809ESD,ACROBAT XI STD ESD,,284.57,
AD-65197112AD00A00,ACROBAT 11 STND MEDIA KIT,,15.19,
AD-65197414AD01A00,TLP ACROBAT XI 11 STANDARD,,270.38,
AD-65206109,ELEARNING SUITE 6.1,,800.00,
AD-65206810BA01A12,Creative Cloud Team 1 Year Sub,,540.76,
AD-65206866BB01A12,Creative Cloud Academic1YR SUB,,427.75,
AD-65207645AF01A00,FLASH BUILDER PREM 4.7 GOV,,575.64,
AD-65207652AF01A00,FLASH BUILDER PREM 4.7 UPG TLP,,40.52,
AD-65208261,ACROBAT XI STD ESD,,284.57,
AD-65208370,CS6 PHOTOSHOP ESD,,663.30,
AD-65208509,CS6 INDESIGN ESD WIN,,716.36,
AD-65208631,ADOBE CONTRIBUTE 6.5 ESD,,189.89,
AD-65213768AD01A24,TLP CAPTIVATE7,,955.95,
AD-65215080AD00A00,DVD SET LIGHTROOM 5,,15.19,
AD-65215147,PHOTOSHOP LIGHTROOM 5 ACAD,,70.00,
AD-65215211,Photoshop Lightroom 5,,105.00,
AD-65215219AD01A00,UPG LIGHTROOM 5,,68.86,
AD-65223139BA01A12,CREATIVE CLOUD TEAM 1YR,,145.82,
AD-65224685BA01A12,ILLUSTRATOR CC 12 MO,,,
AD-65224784,PHOTOSHOP ELEMENTS 12,,70.00,
AD-65224820,PHOTOSHOP ELEMENTS 12 PKC,,50.00,
AD-65225124BA01A12,PREMIERE PRO CC 12 MO,,195.00,
AD-65225383,PREMIERE ELEMENTS 12,,81.76,
AD-65225801AD01A00,ACROBAT XI STD PROMO 6U,,"1,347.85",
AD-65225822AD01A00,ACRO PRO 11 6-PACK PROMO,,"2,024.30",
AD-65226015BA01A12,CC EDGE ANIMATE 12 MO PROMO,,216.18,
AD-65226053BA01A12,PHOTOSHOP CC 12MO UPGRADE,,216.18,
AD-65226056BA01A12,INDESIGN CC 12 MONTH PROMO,,216.18,
AD-65226057BA01A12,ILLUSTRATOR CC 12MO PROMO,,216.18,
AD-65226225,Photoshop Elements 12 + Premie,,122.59,
AD-65227494BA01A12,CC TEAM SUBSCRPTN 1 YR RENEWAL,,437.25,
AE-F164MC0CE,FASTTRACK SCHEDULE 10,,335.38,
AE-F164WC0CE,FASTTRACK SCHEDULE 10 1U win,,327.52,
AH-AMER10010006,Nero Multimedia Suite 10,1.00,44.91,44.91
AH-AMER102001,Nero BackItUp & Burn,,23.67,
AH-AMER12210000,Nero Multimedia Suite 10 Plati,,33.00,
AH-AMER12230000,Nero 12 Platinum,,101.59,
AH-NUSH7AA023,Acer Aspire 11.6 Inch LED Chro,,266.18,
AH-NUSH7AA024,Acer Aspire 11.6 Inch LED Chro,,250.63,
AM-VSCTR1,NETZOOM VISIO STENCILS 1U,,480.00,
AM-VSUF1,NETZOOM VISIO STENCILS UNIV 1U,,560.00,
AP-MB642ZA,FINAL CUT STUDIO,,"1,185.00",
AP-MC625ZA,ILIFE 11 FAMILY PACK,,40.00,
AT-1868861400,REFLECTION FOR X v14.0 UPG,,221.03,
AT-VSCTR1,NETZOOM VISIO STENCILS,,475.00,
AU-001000000009860VC,AUTOCAD LT SUPPORT,,,
AU-003A10511111001,AUTOSKETCH 10,,239.78,
AU-057000000009860,AUTOCAD LT AUTODESK SUB 1 USR,,,
AU-057000000009860NO,AUTOCAD LT SUB 1YR,,155.32,
AU-057D1ABN1111001,AutoCAD LT 2012,,"1,038.33",
AU-057E1AB51111001,AutoCAD LT 2013,,820.00,
AU-057E1AB54114001,AutoCAD LT 2013 - Upgrade,,796.77,
AU-057E1ABA111B002,AutoCAD LT 2013 with SubS,,941.68,
AU-057E1ABA471B002VC,AutoCAD LT 2013 Upg w/ Sub,,714.48,
AU-057F1AB51111001,AutoCAD LT 2014,,"1,032.17",
AU-057F1AB51171001,AutoCAD LT 2014 for PC New,,825.00,
AU-057F1AB54114001,AUTOCAD LT 2014 UPGRADE,,647.40,
AU-057G1G251111001,AUTOCAD LT 2015,,"1,097.82",
AU-057G1G2511110C1,AutoCAD LT 2015 - 5 Pack,,"5,107.06",
AU-057G1G251171001,AUTOCAD LT 2015 PC,,"1,113.84",
AU-057G1WWR1111001,AUTOCAD LT 2015 ELD,,"1,100.00",
AU-057G1WWR1111001NO,AUTOCAD LT 2015,,"1,113.84",
AU-057H1WW6919T229,AUTOCAD LT 2016 COMMERCIAL NEW,,280.69,
AU-057H1WWR1111001NO,AutoCAD LT 2016,,"1,097.82",
AU-732C1A5A11B1001,SKETCHBOOK PRO 2011,,45.00,
AU-732E1AH511B1001,Sketchbook Pro 6,,51.36,
AU-741D1ARN11B1001,SKETCHBOOK DESIGNER 2012 - RET,,381.75,
AU-827E10551151001,AUTOCAD LT 2013 MAC,,849.64,
AU-827E105A111B002,AutoCAD LT 2013 for Mac with S,,"1,179.79",
AU-827F10551151001,AutoCAD LT 2014 for Mac,,825.00,
AU-827F10551171001,Autocad LT 2014 for Mac New,,825.00,
AV-AV15N12EN003,AVG Technologies AV 2015 3U 1Y,,32.79,
AV-AVB12NSTD00140EN,AVG TECH 1YR 140 SEATS,,"1,978.40",
AV-PER15N24EN,AVG Performance 2015 Unlimited,1.00,29.00,29.00
AV-ULT15N24EN,VG Ultimate 2015 Unlimited Dev,,49.00,
BA-BFWX300A55,ARRACUDA NETWORKS : Barracuda,,"3,099.75",
BA-BFWX300AH1,BARRACUDA NETWORKS : 1 Year In,,417.57,
BA-BSF300A5,Barracuda Spam & Virus Firewal,,"4,313.39",
BA-BSF300H1,1 Year Instant Replacement for,,417.57,
BB-ADV3199,BES/MVS ADVTG PER CAL 31-99,,22.65,
